[2026-05-07 17:37:06] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-07 17:37:08] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-07 17:37:08] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-07 17:37:10] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-07 17:37:12] KeyCaptured: 54 ('6') | Source: keyboard_linux
[2026-05-07 17:37:12] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-07 17:37:14] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-07 17:37:15] KeyCaptured: 27 ('?') | Source: keyboard_linux
[2026-05-07 17:37:15] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-07 17:37:16] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-07 17:37:16] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-07 17:37:16] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-07 17:37:17] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-07 17:37:17] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-07 17:37:18] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-07 17:37:19] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-07 17:37:19] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-07 17:37:19] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-07 17:37:20] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-07 17:38:06] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-07 17:38:08] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-07 17:38:08] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-07 17:38:10] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-07 17:38:10] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-07 17:53:32] KeyCaptured: 24 ('?') | Source: keyboard_linux
[2026-05-07 17:55:11] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-07 17:55:12] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-07 17:55:13] KeyCaptured: 51 ('3') | Source: keyboard_linux
[2026-05-07 17:55:13] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-07 17:55:15] KeyCaptured: 27 ('?') | Source: keyboard_linux
[2026-05-07 17:55:15] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-07 17:55:16] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-07 18:00:52] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-07 18:01:35] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-07 18:01:36] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-07 18:01:39] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-07 18:01:40] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-07 18:01:40] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-07 18:01:41] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-07 18:01:41] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-07 18:01:42] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-07 18:01:43] KeyCaptured: 27 ('?') | Source: keyboard_linux
[2026-05-07 18:01:44] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-07 18:01:45] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-10 03:05:46] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-10 03:18:58] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-10 03:19:10] KeyCaptured: 49 ('1') | Source: keyboard_linux
[2026-05-10 03:19:10] KeyCaptured: 50 ('2') | Source: keyboard_linux
[2026-05-10 03:19:11] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-10 03:19:12] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-10 03:19:12] KeyCaptured: 1000 ('?') | Source: keyboard_linux
[2026-05-10 03:19:13] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-10 03:19:13] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-10 03:19:13] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-05-10 03:19:14] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-10 03:19:14] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-10 03:19:14] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-10 03:19:14] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-05-10 03:19:14] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-10 03:19:14] KeyCaptured: 1000 ('?') | Source: keyboard_linux
[2026-05-10 03:19:50] KeyCaptured: 49 ('1') | Source: keyboard_linux
[2026-05-10 03:19:50] KeyCaptured: 53 ('5') | Source: keyboard_linux
[2026-05-10 03:19:50] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-10 03:19:51] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-10 03:19:52] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-10 03:19:55] KeyCaptured: 52 ('4') | Source: keyboard_linux
[2026-05-10 03:19:55] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-10 03:19:56] KeyCaptured: 49 ('1') | Source: keyboard_linux
